Gene.symbol	Gene.ID	adj.P.Val	logFC
WLS	79971	7.36092319837517e-10	-3.82429199305556
STEAP4	79689	7.36092319837517e-10	-5.21382040227778
KIT	3815	7.36092319837517e-10	5.93137807372222
TYMS	7298	7.36092319837517e-10	4.65079884055556
LDHB	3945	7.58643977385057e-10	2.40881868583333
ARSG	22901	7.59893119974003e-10	-2.55947079794444
KIAA0101	9768	8.75259388810143e-10	5.71632108444445
STMN1	3925	9.83851455900868e-10	4.33719421677778
CLEC6A	93978	1.03987940778828e-09	-3.90374352805556
SLC46A2	57864	1.14045957554946e-09	-2.81230648716667
MYB///MYB	4602///4602	1.56936769595676e-09	3.73213162511111
C3orf14	57415	2.71414807926612e-09	-1.76535015694445
PLA2G7	7941	6.26410362111466e-09	-5.04615385011111
ALDH18A1	5832	6.26410362111466e-09	3.96767261722222
WEE1	7465	1.11436119734227e-08	3.57760845272223
		1.11436119734227e-08	1.78409149494444
PID1	55022	1.11436119734227e-08	-4.51042408366667
		1.95192134448213e-08	1.47564868555556
SEMA3C	10512	1.9813674452493e-08	-2.95730432211112
SLC24A4	123041	1.9813674452493e-08	-3.04069401355556
WEE1	7465	1.9813674452493e-08	2.86129397355556
HIST1H3B	8358	2.7222966560761e-08	5.40613475133333
CDCA7L	55536	2.97941696998524e-08	4.11945463738889
PCSK5	5125	3.66774788591127e-08	-2.85087787422222
HIST1H1B	3009	3.66774788591127e-08	5.38391744005556
DTL	51514	3.66774788591127e-08	4.69172871083333
MCM2	4171	4.27081834457706e-08	2.74258148027778
MAK	4117	5.03481007326381e-08	-1.7446778435
		5.64598512104505e-08	1.24826789222222
		5.64598512104505e-08	2.28520124272222
ANKRD28	23243	6.29326820609958e-08	3.87291860205556
CLEC1A	51267	6.74352071433658e-08	-2.40614118794445
CPXM1	56265	7.07277836501713e-08	4.02244866777778
CREB5	9586	7.28732963816828e-08	-3.62810058883334
RBP7	116362	7.48123219953625e-08	-3.53573504827778
DEPTOR	64798	7.48123219953625e-08	3.67998719716667
HIST1H2AG	8969	7.48123219953625e-08	2.86405523844444
LINC00324	284029	7.48123219953625e-08	-1.97179690738889
MCM6	4175	7.48123219953625e-08	3.49253291144445
SLC35F2	54733	7.95955321570488e-08	3.51390348666667
CYP1B1-AS1	285154	9.23738761607495e-08	-1.30318439388889
TMEM156	80008	9.23738761607495e-08	2.62875730838889
RTN1	6252	9.23738761607495e-08	-3.19383642805555
SLC38A1	81539	9.23738761607495e-08	4.50307048872222
KCNJ15	3772	1.26707635328476e-07	-2.180371939
		1.48341260230574e-07	1.64177820666667
RASSF3	283349	1.48341260230574e-07	-2.54219160816667
ZBP1	81030	1.56094577770518e-07	-1.35669214833333
HSP90AB1	3326	1.70815146528929e-07	1.85267349922222
		1.93378655893683e-07	2.36517544583333
		2.05840617674271e-07	1.44571454755556
ADGRD1	283383	2.2945976068329e-07	-2.01865393044444
		2.2945976068329e-07	2.23587020322222
MTHFD1L	25902	2.43761632523084e-07	1.69419446144445
ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B	645784///400986///375248///57730	2.44084393113005e-07	2.31895191411111
CHEK1	1111	2.51984159733019e-07	3.41510097811111
OLFM1	10439	2.57633730927562e-07	-2.28919869705555
ANKRD36///ANKRD36B	375248///57730	2.60459332289775e-07	2.49289020983333
CDK6	1021	2.64270131021854e-07	3.86836619688889
ANKRD36B	57730	2.72423455223753e-07	2.47354781538889
		2.72423455223753e-07	1.55473095561111
NOP58	51602	2.8655469054074e-07	1.61143183822222
SMARCD3	6604	2.8655469054074e-07	-2.28127717672222
CYP27A1	1593	2.8655469054074e-07	-4.05556339544445
		2.91304407509925e-07	1.37745808222222
C6orf48///SVIL	50854///6840	2.9794481475973e-07	1.28492844788888
ADAT2	134637	3.08045275926464e-07	2.217361567
MB21D2	151963	3.1821426096186e-07	-2.08400640172222
		3.25949534216799e-07	-2.09643877005556
MAPRE3	22924	3.32326466540445e-07	-1.91405528988889
FLT3	2322	3.32326466540445e-07	3.47029807655556
ANKRD36BP2///ANKRD36///ANKRD36B	645784///375248///57730	3.4104861776119e-07	2.545638725
ERG	2078	3.42893717704656e-07	3.84659961155556
CHD1L	9557	3.60798834620147e-07	1.84203382488889
		3.72100432084338e-07	1.7336819855
HACD1	9200	4.39208189237029e-07	2.83452792433333
SNORD44	26806	4.58303301763366e-07	2.26784100966667
ADGRE3	84658	4.8651793853114e-07	-3.87293025888889
		5.03096094440514e-07	-3.23768843527778
ANKRD34B	340120	5.19707693217461e-07	-1.73533847338889
CCND2	894	5.20768126248769e-07	3.20945863211111
ATAD2	29028	5.4891567593418e-07	2.12156948366666
FBXL5	26234	5.80192776579576e-07	-1.63723848122222
NHS	4810	6.20526990070587e-07	-1.60245475494445
		6.40684677239459e-07	-3.09375645094445
KNTC1	9735	6.929747009989e-07	2.45040504022222
		6.96690132268794e-07	1.59973095338889
